True\Pred	Amur_Falcon	Asian_Brown_Flycatcher	Asian_House_Martin	Asian_Koel	Azure-winged_Magpie	Bar-tailed_Godwit	Barn_Swallow	Besra	Black-browed_Reed_Warbler	Black-capped_Kingfisher	Black-collared_Starling	Black-crowned_Night_Heron	Black-headed_Bunting	Black-naped_Tern	Black-tailed_Gull	Black-winged_Cuckooshrike	Black-winged_Kite	Black-winged_Stilt	Black_Kite	Blue-tailed_Bee-eater	Blue_Rock_Thrush	Broad-billed_Sandpiper	Brown-cheeked_Rail	Brown-flanked_Bush_Warbler	Brown_Shrike	Buff-bellied_Pipit	Caspian_Tern	Chestnut-eared_Bunting	Chestnut_Bulbul	Chinese_Barbet	Chinese_Francolin	Chinese_Grey_Shrike	Chinese_Penduline_Tit	Chinese_Pond_Heron	Collared_Owlet	Common_Cuckoo	Common_Greenshank	Common_Kestrel	Common_Kingfisher	Common_Redshank	Common_Sandpiper	Common_Snipe	Common_Tailorbird	Crested_Honey_Buzzard	Crested_Myna	Curlew_Sandpiper	Dusky_Warbler	Eastern_Imperial_Eagle	Eastern_Spot-billed_Duck	Eastern_Yellow_Wagtail	Eurasian_Bittern	Eurasian_Hobby	Eurasian_Hoopoe	Eurasian_Magpie	Eurasian_Teal	Eurasian_Tree_Sparrow	Eurasian_Wigeon	Eurasian_Wryneck	Falcated_Duck	Far_Eastern_Curlew	Fork-tailed_Drongo-_Cuckoo	Fork-tailed_Sunbird	Gadwall	Garganey	Glossy_Ibis	Golden-headed_Cisticola	Great_Crested_Grebe	Great_Egret	Greater_Coucal	Greater_Crested_Tern	Greater_Necklaced_Laughingthrush	Greater_Painted-snipe	Greater_Sand_Plover	Green-billed_Malkoha	Green_Sandpiper	Grey-backed_Thrush	Grey-capped_Greenfinch	Grey-chinned_Minivet	Grey-headed_Lapwing	Grey-tailed_Tattler	Grey_Heron	Grey_Nightjar	Grey_Plover	Grey_Wagtail	Gull-billed_Tern	Hen_Harrier	Himalayan_Swiftlet	House_Sparrow	House_Swift	Indian_Cuckoo	Japanese_Quail	Japanese_Sparrowhawk	Kentish_Plover	Large-billed_Crow	Large_Hawk-_Cuckoo	Lesser_Coucal	Lesser_Sand_Plover	Lesser_Whistling_Duck	Light-vented_Bulbul	Little_Bunting	Little_Curlew	Little_Egret	Little_Ringed_Plover	Long-billed_Dowitcher	Long-toed_Stint	Mallard	Marsh_Sandpiper	Masked_Laughingthrush	Mountain_Bulbul	Mountain_Scops_Owl	Northern_Pintail	Northern_Shoveler	Oriental_Dollarbird	Oriental_Pratincole	Oriental_Scops_Owl	Oriental_Turtle_Dove	Pacific_Golden_Plover	Pacific_Reef_Heron	Pacific_Swift	Pale_Thrush	Pallas's_Leaf_Warbler	Pheasant-tailed_Jacana	Pied_Avocet	Pied_Kingfisher	Pin-tailed_Snipe	Plain_Prinia	Plaintive_Cuckoo	Plumbeous_Water_Redstart	Purple_Heron	Red-billed_Blue_Magpie	Red-flanked_Bluetail	Red-necked_Phalarope	Red-rumped_Swallow	Red-throated_Pipit	Red-whiskered_Bulbul	Red_Collared_Dove	Red_Knot	Richard's_Pipit	River_Lapwing	Rufous-capped_Babbler	Sand_Martin	Sanderling	Scaly-breasted_Munia	Scarlet-backed_Flowerpecker	Scarlet_Minivet	Sharp-tailed_Sandpiper	Siberian_Rubythroat	Slaty-breasted_Rail	Slaty-legged_Crake	Sooty-headed_Bulbul	Spotted_Dove	Spotted_Redshank	Stejneger's_Stonechat	Streak-breasted_Scimitar_Babbler	Striated_Heron	Swinhoe's_Snipe	Taiwan_Hwamei	Temminck's_Stint	Tristram's_Bunting	Verditer_Flycatcher	Von_Schrenck's_Bittern	Warbling_White-eye	Water_Pipit	Western_Osprey	Whimbrel	Whiskered_Tern	White's_Thrush	White-breasted_Waterhen	White-cheeked_Starling	White-rumped_Munia	White-tailed_Robin	White-throated_Kingfisher	White-winged_Tern	White_Wagtail	Wood_Sandpiper	Yellow-bellied_Prinia	Yellow-browed_Warbler	Yellow_Bittern	Zitting_Cisticola	True_Total	Recall
Amur_Falcon	0.589196	0.000000	0.000000	0.000000	0.000000	0.002513	0.000000	0.030151	0.000000	0.000000	0.000000	0.000000	0.000000	0.010050	0.000000	0.000000	0.002513	0.000000	0.001256	0.000000	0.000000	0.000000	0.005025	0.000000	0.000000	0.000000	0.003769	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.038945	0.000000	0.000000	0.002513	0.005025	0.000000	0.000000	0.000000	0.040201	0.000000	0.000000	0.006281	0.000000	0.001256	0.001256	0.000000	0.080402	0.000000	0.001256	0.000000	0.000000	0.000000	0.002513	0.000000	0.000000	0.001256	0.000000	0.001256	0.000000	0.003769	0.000000	0.000000	0.003769	0.000000	0.000000	0.000000	0.002513	0.001256	0.001256	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002513	0.001256	0.000000	0.000000	0.000000	0.000000	0.010050	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003769	0.000000	0.000000	0.000000	0.000000	0.001256	0.002513	0.001256	0.000000	0.000000	0.000000	0.000000	0.001256	0.000000	0.001256	0.000000	0.000000	0.000000	0.000000	0.008794	0.000000	0.000000	0.000000	0.000000	0.006281	0.001256	0.000000	0.000000	0.027638	0.003769	0.025126	0.000000	0.000000	0.002513	0.001256	0.000000	0.002513	0.001256	0.000000	0.000000	0.000000	0.000000	0.000000	0.001256	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008794	0.000000	0.000000	0.000000	0.011307	0.000000	0.000000	0.000000	0.000000	0.001256	0.002513	0.000000	0.005025	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012563	0.000000	0.001256	0.000000	0.011307	0.000000	796	0.589196
Asian_Brown_Flycatcher	0.000000	0.653465	0.000000	0.009901	0.000000	0.000000	0.000000	0.000000	0.007426	0.000000	0.000000	0.007426	0.000000	0.000000	0.000000	0.009901	0.000000	0.000000	0.000000	0.000000	0.007426	0.000000	0.000000	0.000000	0.000000	0.002475	0.000000	0.000000	0.000000	0.000000	0.002475	0.000000	0.002475	0.000000	0.000000	0.000000	0.000000	0.000000	0.019802	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002475	0.000000	0.000000	0.009901	0.000000	0.002475	0.000000	0.000000	0.000000	0.000000	0.000000	0.002475	0.000000	0.002475	0.000000	0.000000	0.000000	0.000000	0.000000	0.004950	0.004950	0.002475	0.004950	0.002475	0.000000	0.000000	0.019802	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.009901	0.000000	0.000000	0.000000	0.000000	0.000000	0.002475	0.000000	0.000000	0.000000	0.000000	0.009901	0.000000	0.002475	0.000000	0.000000	0.000000	0.000000	0.004950	0.000000	0.000000	0.000000	0.004950	0.002475	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002475	0.000000	0.022277	0.000000	0.000000	0.000000	0.032178	0.000000	0.000000	0.002475	0.000000	0.000000	0.000000	0.000000	0.002475	0.002475	0.019802	0.000000	0.000000	0.000000	0.000000	0.004950	0.000000	0.002475	0.002475	0.007426	0.022277	0.000000	0.007426	0.000000	0.004950	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012376	0.002475	0.000000	0.000000	0.000000	0.000000	0.007426	0.002475	0.000000	0.000000	0.000000	0.000000	0.009901	0.000000	0.002475	0.007426	0.000000	0.000000	404	0.653465
Asian_House_Martin	0.000000	0.009464	0.735016	0.000000	0.000000	0.000000	0.000000	0.000000	0.034700	0.000000	0.003155	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003155	0.000000	0.000000	0.000000	0.000000	0.006309	0.009464	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003155	0.000000	0.003155	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003155	0.000000	0.000000	0.028391	0.000000	0.000000	0.000000	0.000000	0.000000	0.003155	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003155	0.000000	0.000000	0.000000	0.000000	0.053628	0.000000	0.000000	0.000000	0.000000	0.006309	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003155	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.006309	0.000000	0.003155	0.000000	0.003155	0.000000	0.000000	0.000000	0.000000	0.000000	0.028391	0.000000	0.000000	0.000000	0.003155	0.000000	0.000000	0.003155	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.009464	0.000000	0.000000	0.003155	0.000000	0.000000	0.000000	0.003155	0.000000	0.000000	0.006309	0.000000	0.000000	0.000000	0.000000	0.000000	0.003155	0.000000	0.000000	0.000000	0.006309	0.012618	0.000000	0.000000	0.000000	0.000000	0.000000	317	0.735016
Asian_Koel	0.000000	0.000000	0.000000	0.823529	0.000000	0.002558	0.000000	0.000000	0.002558	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002558	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002558	0.000000	0.000000	0.000000	0.000000	0.000000	0.005115	0.000000	0.000000	0.000000	0.000000	0.000000	0.005115	0.002558	0.000000	0.000000	0.000000	0.000000	0.002558	0.002558	0.000000	0.002558	0.000000	0.000000	0.000000	0.000000	0.002558	0.000000	0.002558	0.000000	0.000000	0.002558	0.007673	0.000000	0.000000	0.005115	0.015345	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002558	0.002558	0.000000	0.000000	0.000000	0.000000	0.002558	0.000000	0.000000	0.000000	0.000000	0.002558	0.000000	0.002558	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005115	0.000000	0.000000	0.000000	0.005115	0.023018	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010230	0.000000	0.000000	0.005115	0.000000	0.002558	0.000000	0.002558	0.002558	0.002558	0.000000	0.000000	0.000000	0.002558	0.002558	0.000000	0.000000	0.000000	0.000000	0.002558	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005115	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002558	0.000000	0.000000	0.000000	0.005115	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005115	0.000000	0.000000	0.000000	0.002558	0.000000	0.010230	0.000000	0.000000	0.000000	0.000000	0.000000	391	0.823529
Azure-winged_Magpie	0.000000	0.000000	0.000000	0.000000	0.758713	0.002681	0.008043	0.000000	0.000000	0.000000	0.034853	0.000000	0.000000	0.000000	0.005362	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002681	0.002681	0.000000	0.000000	0.000000	0.002681	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008043	0.002681	0.056300	0.016086	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002681	0.002681	0.000000	0.000000	0.000000	0.000000	0.000000	0.002681	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002681	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.026810	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002681	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002681	0.000000	0.000000	0.000000	0.000000	0.010724	0.000000	0.000000	0.000000	0.018767	0.010724	0.000000	0.000000	0.002681	0.000000	0.000000	0.002681	0.000000	0.002681	0.000000	0.000000	0.000000	0.002681	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002681	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002681	0.000000	373	0.758713
Bar-tailed_Godwit	0.002227	0.000000	0.000000	0.000000	0.000000	0.706013	0.000000	0.002227	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002227	0.000000	0.000000	0.026726	0.000000	0.000000	0.002227	0.000000	0.000000	0.000000	0.000000	0.000000	0.008909	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002227	0.000000	0.000000	0.011136	0.000000	0.000000	0.000000	0.000000	0.000000	0.002227	0.002227	0.000000	0.002227	0.000000	0.002227	0.000000	0.000000	0.002227	0.000000	0.000000	0.008909	0.000000	0.000000	0.002227	0.000000	0.000000	0.000000	0.002227	0.000000	0.000000	0.011136	0.000000	0.006682	0.008909	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004454	0.000000	0.000000	0.006682	0.000000	0.017817	0.004454	0.000000	0.000000	0.000000	0.000000	0.002227	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002227	0.000000	0.002227	0.000000	0.000000	0.002227	0.000000	0.000000	0.002227	0.000000	0.002227	0.004454	0.000000	0.002227	0.011136	0.000000	0.004454	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002227	0.002227	0.022272	0.000000	0.000000	0.000000	0.000000	0.004454	0.000000	0.004454	0.024499	0.000000	0.002227	0.000000	0.004454	0.004454	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.031180	0.000000	0.000000	0.002227	0.000000	0.000000	0.000000	0.000000	0.000000	0.002227	0.000000	0.000000	0.002227	0.006682	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	449	0.706013
Barn_Swallow	0.002247	0.000000	0.002247	0.000000	0.000000	0.000000	0.822472	0.000000	0.000000	0.000000	0.000000	0.000000	0.004494	0.000000	0.000000	0.000000	0.000000	0.000000	0.002247	0.000000	0.002247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002247	0.000000	0.000000	0.004494	0.000000	0.000000	0.000000	0.000000	0.004494	0.008989	0.000000	0.000000	0.000000	0.004494	0.000000	0.000000	0.000000	0.002247	0.000000	0.000000	0.000000	0.000000	0.000000	0.004494	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002247	0.002247	0.002247	0.000000	0.000000	0.000000	0.000000	0.002247	0.002247	0.000000	0.000000	0.000000	0.002247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004494	0.000000	0.000000	0.000000	0.000000	0.000000	0.004494	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008989	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004494	0.008989	0.006742	0.000000	0.002247	0.002247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002247	0.000000	0.002247	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002247	0.000000	0.000000	0.004494	0.000000	0.004494	0.006742	0.002247	0.000000	0.000000	0.000000	0.000000	0.004494	0.008989	0.000000	0.000000	0.000000	0.033708	0.000000	0.000000	0.002247	0.000000	0.000000	445	0.822472
Besra	0.002500	0.000000	0.000000	0.000000	0.000000	0.002500	0.000000	0.825000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005000	0.000000	0.005000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012500	0.005000	0.000000	0.000000	0.010000	0.000000	0.005000	0.000000	0.000000	0.000000	0.000000	0.005000	0.000000	0.000000	0.025000	0.005000	0.000000	0.000000	0.002500	0.002500	0.005000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005000	0.000000	0.020000	0.000000	0.000000	0.000000	0.002500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002500	0.000000	0.000000	0.000000	0.000000	0.002500	0.000000	0.000000	0.002500	0.012500	0.000000	0.000000	0.000000	0.000000	0.002500	0.000000	0.000000	0.000000	0.007500	0.002500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005000	0.000000	0.000000	0.000000	0.005000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	400	0.825000
Black-browed_Reed_Warbler	0.000000	0.000000	0.000000	0.000000	0.002137	0.002137	0.002137	0.000000	0.705128	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002137	0.000000	0.000000	0.000000	0.010684	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008547	0.000000	0.002137	0.000000	0.021368	0.000000	0.000000	0.000000	0.017094	0.000000	0.000000	0.000000	0.006410	0.000000	0.000000	0.000000	0.012821	0.017094	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.006410	0.002137	0.002137	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002137	0.002137	0.006410	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008547	0.000000	0.000000	0.004274	0.000000	0.000000	0.004274	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002137	0.000000	0.017094	0.002137	0.000000	0.000000	0.000000	0.000000	0.000000	0.002137	0.000000	0.000000	0.000000	0.002137	0.004274	0.002137	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002137	0.000000	0.004274	0.000000	0.000000	0.006410	0.004274	0.010684	0.000000	0.004274	0.002137	0.000000	0.000000	0.002137	0.002137	0.000000	0.002137	0.000000	0.000000	0.006410	0.000000	0.000000	0.004274	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004274	0.000000	0.000000	0.008547	0.002137	0.000000	0.000000	0.000000	0.000000	0.002137	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004274	0.000000	0.032051	0.002137	0.012821	0.000000	0.000000	0.000000	0.000000	0.000000	468	0.705128
Black-capped_Kingfisher	0.000000	0.000000	0.000000	0.000000	0.000000	0.011650	0.000000	0.001942	0.000000	0.671845	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005825	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003883	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.009709	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001942	0.005825	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001942	0.000000	0.000000	0.005825	0.000000	0.000000	0.000000	0.000000	0.000000	0.009709	0.015534	0.000000	0.000000	0.000000	0.001942	0.000000	0.003883	0.001942	0.007767	0.013592	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001942	0.003883	0.000000	0.044660	0.000000	0.000000	0.001942	0.000000	0.000000	0.000000	0.000000	0.005825	0.000000	0.000000	0.000000	0.000000	0.000000	0.001942	0.000000	0.011650	0.000000	0.000000	0.003883	0.011650	0.000000	0.003883	0.003883	0.000000	0.000000	0.000000	0.000000	0.000000	0.007767	0.001942	0.001942	0.000000	0.001942	0.000000	0.000000	0.021359	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003883	0.017476	0.000000	0.000000	0.000000	0.000000	0.007767	0.000000	0.000000	0.000000	0.005825	0.000000	0.000000	0.000000	0.005825	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.029126	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001942	0.001942	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.021359	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	515	0.671845
Black-collared_Starling	0.000000	0.000000	0.000000	0.014706	0.105392	0.000000	0.000000	0.000000	0.000000	0.012255	0.693627	0.000000	0.000000	0.000000	0.000000	0.009804	0.000000	0.000000	0.000000	0.000000	0.002451	0.000000	0.036765	0.000000	0.000000	0.000000	0.022059	0.000000	0.002451	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004902	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.009804	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004902	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.014706	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.029412	0.000000	0.000000	0.004902	0.002451	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002451	0.000000	0.002451	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002451	0.000000	0.000000	0.002451	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002451	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002451	0.000000	0.000000	0.000000	0.000000	0.002451	0.000000	0.000000	0.000000	0.004902	0.000000	0.002451	0.000000	0.000000	0.000000	0.002451	0.000000	0.000000	0.000000	0.000000	0.002451	0.000000	0.000000	408	0.693627
Black-crowned_Night_Heron	0.000000	0.000000	0.000000	0.000000	0.000000	0.002336	0.000000	0.000000	0.000000	0.000000	0.000000	0.817757	0.000000	0.002336	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004673	0.000000	0.000000	0.000000	0.000000	0.002336	0.000000	0.000000	0.000000	0.002336	0.000000	0.000000	0.000000	0.002336	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002336	0.000000	0.000000	0.000000	0.004673	0.000000	0.000000	0.000000	0.000000	0.004673	0.000000	0.000000	0.000000	0.002336	0.002336	0.004673	0.000000	0.000000	0.000000	0.000000	0.000000	0.002336	0.000000	0.002336	0.000000	0.007009	0.018692	0.000000	0.002336	0.000000	0.000000	0.000000	0.004673	0.004673	0.000000	0.000000	0.000000	0.000000	0.000000	0.030374	0.000000	0.002336	0.002336	0.000000	0.000000	0.000000	0.000000	0.000000	0.002336	0.000000	0.000000	0.000000	0.011682	0.000000	0.000000	0.000000	0.000000	0.000000	0.002336	0.000000	0.007009	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004673	0.011682	0.002336	0.000000	0.002336	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002336	0.000000	0.000000	0.000000	0.000000	0.000000	0.002336	0.000000	0.000000	0.000000	0.002336	0.000000	0.000000	0.000000	0.004673	0.000000	0.000000	0.002336	0.000000	0.000000	0.002336	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002336	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002336	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002336	0.000000	428	0.817757
Black-headed_Bunting	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.007282	0.000000	0.012136	0.000000	0.002427	0.000000	0.766990	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.038835	0.002427	0.000000	0.000000	0.000000	0.000000	0.000000	0.004854	0.000000	0.000000	0.000000	0.000000	0.002427	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002427	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.009709	0.002427	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002427	0.000000	0.000000	0.000000	0.002427	0.000000	0.000000	0.002427	0.000000	0.000000	0.004854	0.000000	0.002427	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004854	0.000000	0.002427	0.000000	0.000000	0.000000	0.000000	0.002427	0.000000	0.002427	0.000000	0.000000	0.000000	0.002427	0.007282	0.000000	0.000000	0.000000	0.007282	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002427	0.000000	0.000000	0.000000	0.000000	0.004854	0.000000	0.002427	0.000000	0.007282	0.000000	0.000000	0.000000	0.000000	0.009709	0.000000	0.000000	0.002427	0.002427	0.002427	0.000000	0.004854	0.009709	0.007282	0.000000	0.002427	0.000000	0.000000	0.000000	0.002427	0.002427	0.000000	0.000000	0.000000	0.000000	0.014563	0.000000	0.000000	0.000000	0.000000	0.002427	0.004854	0.000000	0.002427	0.000000	0.004854	0.000000	0.000000	0.007282	0.000000	0.000000	0.000000	0.004854	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	412	0.766990
